local_time_s,sid,cell,valid,x_mm,y_mm,z_mm,target_status,sensor_ts_ms
1771961178.051,8,0,1,-209.40,884.10,776.90,255,2644966
1771961178.051,8,1,1,-455.30,956.80,760.60,255,2644966
1771961178.051,8,2,1,-715.60,974.30,749.30,255,2644966
1771961178.051,8,3,1,-926.80,813.60,824.70,255,2644966
1771961178.051,8,4,1,-102.00,1181.20,968.00,255,2644966
1771961178.051,8,5,1,-417.10,1284.00,947.20,255,2644966
1771961178.051,8,6,1,-756.20,1319.90,935.80,255,2644966
1771961178.051,8,7,1,-1134.70,1339.50,916.20,255,2644966
1771961178.051,8,8,1,-134.60,1159.30,1297.30,5,2644966
1771961178.051,8,9,1,-427.70,1261.30,1282.50,255,2644966
1771961178.051,8,10,1,-750.40,1335.60,1279.40,255,2644966
1771961178.051,8,11,1,-1049.40,1197.20,1296.10,255,2644966
1771961178.051,8,12,1,-184.30,1089.40,1592.10,5,2644966
1771961178.051,8,13,1,-444.10,1188.90,1586.60,5,2644966
1771961178.051,8,14,1,-749.80,1393.30,1632.60,255,2644966
1771961178.051,8,15,1,-1097.20,1379.60,1665.30,255,2644966
1771961178.052,1,0,1,163.70,480.00,714.60,5,2668492
1771961178.052,1,1,1,813.60,891.00,1028.00,5,2668492
1771961178.052,1,2,1,1049.90,701.60,1074.00,5,2668492
1771961178.052,1,3,1,355.40,313.50,751.70,255,2668492
1771961178.052,1,4,1,173.20,492.40,640.70,5,2668492
1771961178.052,1,5,1,806.20,885.30,737.00,5,2668492
1771961178.052,1,6,1,415.90,439.00,662.50,5,2668492
1771961178.052,1,7,1,479.70,329.90,666.90,5,2668492
1771961178.052,1,8,1,167.80,485.40,567.00,5,2668492
1771961178.052,1,9,1,328.80,519.00,548.70,5,2668492
1771961178.052,1,10,1,363.60,417.30,551.40,5,2668492
1771961178.052,1,11,1,371.60,315.60,553.90,5,2668492
1771961178.052,1,12,1,155.20,469.00,497.60,5,2668492
1771961178.052,1,13,1,307.80,502.90,442.50,5,2668492
1771961178.052,1,14,1,347.40,410.60,447.50,5,2668492
1771961178.052,1,15,1,338.90,311.30,461.70,5,2668492
1771961178.052,2,0,1,1546.40,858.60,1285.20,5,2668519
1771961178.052,2,1,1,490.70,289.90,797.70,5,2668519
1771961178.052,2,2,1,533.80,161.70,815.60,255,2668519
1771961178.052,2,3,1,2610.00,-842.00,1762.00,5,2668519
1771961178.052,2,4,1,439.40,400.10,662.20,5,2668519
1771961178.052,2,5,1,487.40,289.40,664.60,5,2668519
1771961178.052,2,6,1,529.70,162.20,670.20,255,2668519
1771961178.052,2,7,1,2761.40,-904.70,993.10,5,2668519
1771961178.052,2,8,1,403.70,385.30,549.30,5,2668519
1771961178.052,2,9,1,495.30,290.50,540.90,5,2668519
1771961178.052,2,10,1,494.30,166.90,541.00,255,2668519
1771961178.052,2,11,1,2696.40,-877.80,222.60,5,2668519
1771961178.052,2,12,1,365.10,369.30,450.90,255,2668519
1771961178.052,2,13,1,1104.40,370.70,152.40,4,2668519
1771961178.052,2,14,1,1266.50,65.20,84.70,5,2668519
1771961178.052,2,15,1,1083.00,-209.50,129.10,5,2668519
1771961178.052,3,0,1,1161.50,-711.90,93.90,255,2671038
1771961178.052,3,1,1,1240.90,-401.30,95.40,10,2671038
1771961178.052,3,2,1,1140.10,-94.50,137.50,255,2671038
1771961178.052,3,3,1,1010.40,166.70,161.60,5,2671038
1771961178.052,3,4,1,2655.20,-1330.60,228.50,5,2671038
1771961178.052,3,5,1,2863.20,-614.90,226.40,5,2671038
1771961178.052,3,6,1,3042.10,155.90,202.70,255,2671038
1771961178.052,3,7,1,2277.80,691.70,282.30,10,2671038
1771961178.052,3,8,1,2127.60,-1112.00,902.80,5,2671038
1771961178.052,3,9,1,2922.20,-622.70,987.90,10,2671038
1771961178.052,3,10,1,3094.20,162.70,1010.80,5,2671038
1771961178.052,3,11,1,2324.50,711.00,930.90,255,2671038
1771961178.052,3,12,1,2577.50,-1298.40,1747.50,5,2671038
1771961178.052,3,13,1,2821.90,-609.50,1771.60,9,2671038
1771961178.052,3,14,1,2990.40,149.10,1842.00,5,2671038
1771961178.052,3,15,1,674.10,27.40,894.10,5,2671038
1771961178.052,4,0,1,429.70,-839.40,310.90,5,2671061
1771961178.052,4,1,1,642.10,-772.10,268.00,5,2671061
1771961178.052,4,2,1,758.80,-593.70,263.00,255,2671061
1771961178.052,4,3,1,953.50,-404.90,204.90,255,2671061
1771961178.052,4,4,1,473.20,-896.10,500.90,5,2671061
1771961178.052,4,5,1,679.60,-800.90,490.50,5,2671061
1771961178.052,4,6,1,785.90,-604.90,491.30,255,2671061
1771961178.052,4,7,1,926.90,-401.40,480.20,255,2671061
1771961178.052,4,8,1,472.60,-895.30,705.50,5,2671061
1771961178.052,4,9,1,690.60,-809.30,717.90,5,2671061
1771961178.052,4,10,1,809.70,-614.80,718.60,255,2671061
1771961178.052,4,11,1,859.10,-392.50,717.30,255,2671061
1771961178.052,4,12,1,449.90,-865.80,909.40,5,2671061
1771961178.052,4,13,1,664.80,-789.50,950.30,5,2671061
1771961178.052,4,14,1,758.00,-593.40,943.10,255,2671061
1771961178.052,4,15,1,2769.00,-643.90,1760.10,5,2671061
1771961178.052,5,0,1,-70.10,-1382.30,1666.00,255,2644994
1771961178.052,5,1,1,-109.10,-3879.40,2191.70,255,2644994
1771961178.052,5,2,1,-643.20,-537.10,1440.00,255,2644994
1771961178.052,5,3,0,0.00,0.00,0.00,255,2644994
1771961178.052,5,4,1,-236.70,-910.50,1305.50,255,2644994
1771961178.052,5,5,1,-86.90,-3870.70,1171.50,255,2644994
1771961178.052,5,6,1,-1052.00,-3644.90,1181.10,255,2644994
1771961178.052,5,7,1,-2070.30,-3685.60,1214.00,255,2644994
1771961178.052,5,8,1,-223.80,-898.90,1060.30,5,2644994
1771961178.052,5,9,1,-74.30,-3788.20,154.50,255,2644994
1771961178.052,5,10,1,-1005.00,-3137.80,360.40,255,2644994
1771961178.052,5,11,1,-2263.80,-3956.60,60.30,255,2644994
1771961178.052,5,12,1,-240.20,-816.70,822.60,5,2644994
1771961178.052,5,13,1,-488.90,-723.60,910.10,255,2644994
1771961178.052,5,14,1,-874.80,-2077.30,41.90,255,2644994
1771961178.052,5,15,1,-1398.10,-1845.60,124.70,255,2644994
1771961178.106,6,0,1,-1708.10,-1336.10,1731.80,255,2645022
1771961178.106,6,1,1,-4133.60,-2648.90,2308.90,255,2645022
1771961178.106,6,2,1,-1985.50,-577.90,1657.60,255,2645022
1771961178.106,6,3,1,-1049.90,-74.30,1429.10,255,2645022
1771961178.106,6,4,1,-2728.60,-2705.90,1229.60,255,2645022
1771961178.106,6,5,1,-3421.70,-2136.80,1186.10,255,2645022
1771961178.106,6,6,1,-1105.30,-202.80,1312.60,255,2645022
1771961178.106,6,7,1,-4767.40,-569.10,1206.60,255,2645022
1771961178.106,6,8,1,-1673.60,-1391.00,817.50,255,2645022
1771961178.106,6,9,1,-1902.40,-985.70,835.60,255,2645022
1771961178.106,6,10,1,-2085.90,-599.80,846.30,255,2645022
1771961178.106,6,11,1,-2537.90,-233.50,762.00,255,2645022
1771961178.106,6,12,1,-1659.20,-1433.20,257.60,255,2645022
1771961178.106,6,13,1,-2051.40,-1117.80,199.50,255,2645022
1771961178.106,6,14,1,-1788.40,-468.70,553.70,255,2645022
1771961178.106,6,15,1,-2348.00,-175.00,279.60,255,2645022
1771961178.106,7,0,1,-1114.30,689.50,830.50,5,2645050
1771961178.106,7,1,1,-1433.40,649.00,693.60,255,2645050
1771961178.106,7,2,1,-2198.30,647.80,269.10,255,2645050
1771961178.106,7,3,1,-3933.60,339.70,-707.00,255,2645050
1771961178.106,7,4,1,-1247.00,839.00,1028.90,5,2645050
1771961178.106,7,5,1,-1588.40,759.90,957.70,255,2645050
1771961178.106,7,6,1,-2478.00,775.10,711.40,255,2645050
1771961178.106,7,7,1,-2539.20,247.10,759.70,255,2645050
1771961178.106,7,8,1,-1663.80,1348.60,1282.40,5,2645050
1771961178.106,7,9,1,-2564.20,1497.80,1231.30,255,2645050
1771961178.106,7,10,1,-3304.20,1131.50,1211.90,255,2645050
1771961178.106,7,11,1,-4799.60,587.00,1205.40,255,2645050
1771961178.106,7,12,1,-1664.60,1302.50,1717.90,5,2645050
1771961178.106,7,13,1,-2473.10,1410.60,1846.00,255,2645050
1771961178.106,7,14,1,-1179.00,252.50,1463.80,255,2645050
1771961178.106,7,15,1,-1059.90,89.50,1433.00,255,2645050
1771961178.106,1,0,1,163.10,479.30,714.20,5,2668558
1771961178.106,1,1,1,840.70,911.80,1042.20,5,2668558
1771961178.106,1,2,1,1053.30,703.00,1075.50,5,2668558
1771961178.106,1,3,1,1383.10,448.80,1181.10,4,2668558
1771961178.106,1,4,1,172.60,491.70,640.60,5,2668558
1771961178.106,1,5,1,818.00,894.40,739.00,5,2668558
1771961178.106,1,6,1,419.50,440.50,663.00,5,2668558
1771961178.106,1,7,1,451.20,326.10,663.20,5,2668558
1771961178.106,1,8,1,170.80,489.30,566.30,5,2668558
1771961178.106,1,9,1,334.30,523.20,547.80,5,2668558
1771961178.106,1,10,1,360.00,415.80,552.00,5,2668558
1771961178.106,1,11,1,372.50,315.70,553.80,5,2668558
1771961178.106,1,12,1,156.90,471.20,496.50,5,2668558
1771961178.106,1,13,1,307.80,502.90,442.50,5,2668558
1771961178.106,1,14,1,348.20,410.90,447.10,5,2668558
1771961178.106,1,15,1,339.80,311.40,461.30,5,2668558
1771961178.147,2,0,1,1468.80,826.50,1250.40,5,2668586
1771961178.147,2,1,1,495.30,290.50,799.60,5,2668586
1771961178.147,2,2,1,530.10,162.20,814.10,255,2668586
1771961178.147,2,3,1,2653.50,-860.00,1781.50,5,2668586
1771961178.147,2,4,1,435.80,398.60,661.70,5,2668586
1771961178.147,2,5,1,486.40,289.30,664.50,5,2668586
1771961178.147,2,6,1,538.50,161.00,671.40,255,2668586
1771961178.147,2,7,1,2752.30,-900.90,991.80,5,2668586
1771961178.147,2,8,1,404.60,385.70,549.20,5,2668586
1771961178.147,2,9,1,491.30,289.90,541.40,5,2668586
1771961178.147,2,10,1,497.20,166.50,540.60,255,2668586
1771961178.147,2,11,1,2712.00,-884.20,220.40,5,2668586
1771961178.147,2,12,1,1030.90,645.10,152.40,4,2668586
1771961178.147,2,13,1,1228.10,386.90,100.80,5,2668586
1771961178.147,2,14,1,1133.70,82.70,140.20,5,2668586
1771961178.147,2,15,1,1124.80,-226.80,110.40,5,2668586
1771961178.148,3,0,1,1161.50,-711.90,93.90,255,2671102
1771961178.148,3,1,1,1303.20,-409.50,69.40,5,2671102
1771961178.148,3,2,1,1140.10,-94.50,137.50,255,2671102
1771961178.148,3,3,1,1013.80,168.10,160.10,5,2671102
1771961178.148,3,4,1,2661.60,-1333.20,227.60,5,2671102
1771961178.148,3,5,1,2883.90,-617.60,223.70,9,2671102
1771961178.148,3,6,1,3042.10,155.90,202.70,255,2671102
1771961178.148,3,7,1,2277.80,691.70,282.30,255,2671102
1771961178.148,3,8,1,2748.60,-1369.30,991.30,5,2671102
1771961178.148,3,9,1,2967.40,-628.60,993.90,5,2671102
1771961178.148,3,10,1,3101.10,163.60,1011.70,5,2671102
1771961178.148,3,11,1,2324.50,711.00,930.90,255,2671102
1771961178.148,3,12,1,2618.50,-1315.40,1765.80,5,2671102
1771961178.148,3,13,1,2811.80,-608.10,1767.40,5,2671102
1771961178.148,3,14,1,2964.80,145.70,1831.30,5,2671102
1771961178.148,3,15,1,679.20,29.50,896.40,5,2671102
1771961178.148,4,0,1,426.30,-835.00,313.20,5,2671129
1771961178.148,4,1,1,635.50,-767.00,271.50,5,2671129
1771961178.148,4,2,1,707.60,-572.50,286.00,255,2671129
1771961178.148,4,3,1,981.90,-408.70,193.00,255,2671129
1771961178.148,4,4,1,462.30,-881.90,503.30,5,2671129
1771961178.148,4,5,1,676.40,-798.50,491.00,5,2671129
1771961178.148,4,6,1,1003.90,-695.20,460.20,4,2671129
1771961178.148,4,7,1,926.90,-401.40,480.20,255,2671129
1771961178.148,4,8,1,470.80,-892.90,705.10,5,2671129
1771961178.148,4,9,1,694.50,-812.30,718.50,5,2671129
1771961178.148,4,10,1,801.50,-611.40,717.50,255,2671129
1771961178.148,4,11,1,859.10,-392.50,717.30,255,2671129
1771961178.148,4,12,1,449.90,-865.80,909.40,5,2671129
1771961178.148,4,13,1,666.30,-790.60,951.10,5,2671129
1771961178.148,4,14,1,764.80,-596.20,946.10,255,2671129
1771961178.148,4,15,1,2811.10,-649.50,1777.70,9,2671129
1771961178.148,5,0,1,-75.40,-1368.70,1662.50,10,2645107
1771961178.148,5,1,1,-109.10,-3879.40,2191.70,255,2645107
1771961178.148,5,2,1,-643.20,-537.10,1440.00,255,2645107
1771961178.148,5,3,0,0.00,0.00,0.00,255,2645107
1771961178.148,5,4,1,-221.90,-946.60,1304.40,5,2645107
1771961178.148,5,5,1,-86.90,-3870.70,1171.50,255,2645107
1771961178.148,5,6,1,-1052.00,-3644.90,1181.10,255,2645107
1771961178.148,5,7,1,-2070.30,-3685.60,1214.00,255,2645107
1771961178.148,5,8,1,-232.10,-879.60,1066.60,5,2645107
1771961178.148,5,9,1,-74.30,-3788.20,154.50,255,2645107
1771961178.148,5,10,1,-1005.00,-3137.80,360.40,255,2645107
1771961178.148,5,11,1,-2263.80,-3956.60,60.30,255,2645107
1771961178.148,5,12,1,-237.40,-822.90,818.40,5,2645107
1771961178.148,5,13,1,-488.90,-723.60,910.10,255,2645107
1771961178.148,5,14,1,-874.80,-2077.30,41.90,255,2645107
1771961178.148,5,15,1,-1416.80,-1886.60,96.90,10,2645107
1771961178.148,8,0,1,-235.20,827.60,815.20,255,2645079
1771961178.148,8,1,1,-460.60,920.00,784.20,255,2645079
1771961178.148,8,2,1,-716.20,978.50,746.70,255,2645079
1771961178.148,8,3,1,-925.00,809.80,827.30,255,2645079
1771961178.148,8,4,1,-106.10,1171.50,971.10,255,2645079
1771961178.148,8,5,1,-415.50,1296.30,943.30,255,2645079
1771961178.148,8,6,1,-756.80,1324.60,934.30,255,2645079
1771961178.148,8,7,1,-1129.80,1328.10,919.90,255,2645079
1771961178.148,8,8,1,-135.00,1158.40,1297.40,5,2645079
1771961178.148,8,9,1,-427.90,1260.30,1282.60,5,2645079
1771961178.148,8,10,1,-750.80,1338.50,1279.30,255,2645079
1771961178.148,8,11,1,-1034.20,1160.20,1297.30,255,2645079
1771961178.148,8,12,1,-184.70,1088.50,1591.90,5,2645079
1771961178.148,8,13,1,-443.50,1193.80,1587.70,5,2645079
1771961178.148,8,14,1,-746.30,1365.20,1626.20,255,2645079
1771961178.148,8,15,1,-1094.70,1373.30,1663.70,255,2645079
1771961178.148,1,0,1,160.90,476.30,712.70,5,2668623
1771961178.148,1,1,1,818.00,894.40,1030.30,5,2668623
1771961178.148,1,2,1,1064.40,707.60,1080.50,5,2668623
1771961178.148,1,3,1,355.40,313.50,751.70,255,2668623
1771961178.148,1,4,1,173.20,492.40,640.70,5,2668623
1771961178.148,1,5,1,346.90,532.90,660.80,5,2668623
1771961178.148,1,6,1,414.00,438.20,662.20,5,2668623
1771961178.148,1,7,1,456.10,326.70,663.80,5,2668623
1771961178.148,1,8,1,172.00,490.90,566.10,5,2668623
1771961178.148,1,9,1,323.30,514.80,549.60,5,2668623
1771961178.148,1,10,1,365.50,418.10,551.20,5,2668623
1771961178.148,1,11,1,371.60,315.60,553.90,5,2668623
1771961178.148,1,12,1,159.20,474.10,495.00,5,2668623
1771961178.148,1,13,1,308.60,503.50,442.10,5,2668623
1771961178.148,1,14,1,344.00,409.20,449.00,5,2668623
1771961178.148,1,15,1,334.30,310.70,463.60,5,2668623
1771961178.206,2,0,1,427.40,395.10,783.50,255,2668655
1771961178.206,2,1,1,492.50,290.10,798.40,5,2668655
1771961178.206,2,2,1,535.60,161.40,816.40,255,2668655
1771961178.206,2,3,1,2693.60,-876.60,1799.50,5,2668655
1771961178.206,2,4,1,439.40,400.10,662.20,5,2668655
1771961178.206,2,5,1,488.40,289.60,664.70,5,2668655
1771961178.206,2,6,1,534.60,161.60,670.90,255,2668655
1771961178.206,2,7,1,2795.30,-918.70,998.00,5,2668655
1771961178.206,2,8,1,402.80,384.90,549.50,5,2668655
1771961178.206,2,9,1,499.20,291.00,540.30,5,2668655
1771961178.206,2,10,1,479.50,168.80,542.90,255,2668655
1771961178.206,2,11,1,2699.10,-878.90,222.20,5,2668655
1771961178.206,2,12,1,364.30,369.00,451.30,255,2668655
1771961178.206,2,13,1,416.50,280.10,439.80,255,2668655
1771961178.206,2,14,1,444.90,173.40,428.00,255,2668655
1771961178.206,2,15,1,1078.70,-207.70,131.00,5,2668655
1771961178.206,3,0,1,1161.50,-711.90,93.90,255,2671168
1771961178.206,3,1,1,1303.20,-409.50,69.40,255,2671168
1771961178.206,3,2,1,1140.10,-94.50,137.50,255,2671168
1771961178.206,3,3,1,1048.80,182.60,144.40,5,2671168
1771961178.206,3,4,1,2632.30,-1321.10,231.80,5,2671168
1771961178.206,3,5,1,2908.40,-620.90,220.40,5,2671168
1771961178.206,3,6,1,3042.10,155.90,202.70,255,2671168
1771961178.206,3,7,1,2277.80,691.70,282.30,255,2671168
1771961178.206,3,8,1,2710.10,-1353.30,985.80,5,2671168
1771961178.206,3,9,1,2968.40,-628.80,994.00,5,2671168
1771961178.206,3,10,1,3101.10,163.60,1011.70,255,2671168
1771961178.206,3,11,1,2324.50,711.00,930.90,255,2671168
1771961178.206,3,12,1,2619.30,-1315.70,1766.20,5,2671168
1771961178.206,3,13,1,2846.60,-612.70,1781.90,5,2671168
1771961178.206,3,14,1,2981.30,147.80,1838.20,5,2671168
1771961178.206,3,15,1,673.20,27.00,893.70,5,2671168
1771961178.206,4,0,1,431.90,-842.30,309.30,5,2671197
1771961178.206,4,1,1,635.50,-767.00,271.50,5,2671197
1771961178.206,4,2,1,751.10,-590.50,266.50,255,2671197
1771961178.206,4,3,1,970.90,-407.20,197.60,255,2671197
1771961178.206,4,4,1,467.20,-888.20,502.20,5,2671197
1771961178.206,4,5,1,671.70,-794.80,491.80,5,2671197
1771961178.206,4,6,1,763.90,-595.80,494.40,255,2671197
1771961178.206,4,7,1,926.90,-401.40,480.20,255,2671197
1771961178.206,4,8,1,473.80,-896.90,705.70,5,2671197
1771961178.206,4,9,1,680.40,-801.50,716.20,5,2671197
1771961178.206,4,10,1,785.90,-604.90,715.20,255,2671197
1771961178.206,4,11,1,859.10,-392.50,717.30,255,2671197
1771961178.206,4,12,1,455.60,-873.10,913.20,5,2671197
1771961178.206,4,13,1,667.70,-791.80,951.90,5,2671197
1771961178.206,4,14,1,778.40,-601.80,952.30,255,2671197
1771961178.206,4,15,1,2782.70,-645.80,1765.80,5,2671197
1771961178.207,6,0,1,-1708.10,-1336.10,1731.80,255,2645135
1771961178.207,6,1,1,-4133.60,-2648.90,2308.90,255,2645135
1771961178.207,6,2,1,-1985.50,-577.90,1657.60,255,2645135
1771961178.207,6,3,1,-1049.90,-74.30,1429.10,255,2645135
1771961178.207,6,4,1,-2728.60,-2705.90,1229.60,255,2645135
1771961178.207,6,5,1,-3421.70,-2136.80,1186.10,255,2645135
1771961178.207,6,6,1,-1105.30,-202.80,1312.60,255,2645135
1771961178.207,6,7,1,-4767.40,-569.10,1206.60,255,2645135
1771961178.207,6,8,1,-1673.60,-1391.00,817.50,255,2645135
1771961178.207,6,9,1,-1902.40,-985.70,835.60,255,2645135
1771961178.207,6,10,1,-2085.90,-599.80,846.30,255,2645135
1771961178.207,6,11,1,-2505.60,-229.70,771.80,10,2645135
1771961178.207,6,12,1,-1659.20,-1433.20,257.60,255,2645135
1771961178.207,6,13,1,-2051.40,-1117.80,199.50,255,2645135
1771961178.207,6,14,1,-1788.40,-468.70,553.70,255,2645135
1771961178.207,6,15,1,-2348.00,-175.00,279.60,255,2645135
1771961178.259,7,0,1,-1117.70,694.40,826.80,5,2645163
1771961178.259,7,1,1,-1433.40,649.00,693.60,255,2645163
1771961178.259,7,2,1,-2198.30,647.80,269.10,255,2645163
1771961178.259,7,3,1,-3933.60,339.70,-707.00,255,2645163
1771961178.259,7,4,1,-1231.50,818.30,1036.70,5,2645163
1771961178.259,7,5,1,-1648.70,806.60,933.70,5,2645163
1771961178.259,7,6,1,-2478.00,775.10,711.40,255,2645163
1771961178.259,7,7,1,-2539.20,247.10,759.70,255,2645163
1771961178.259,7,8,1,-1619.20,1290.90,1284.70,9,2645163
1771961178.259,7,9,1,-2564.20,1497.80,1231.30,255,2645163
1771961178.259,7,10,1,-3304.20,1131.50,1211.90,255,2645163
1771961178.259,7,11,1,-4799.60,587.00,1205.40,255,2645163
1771961178.259,7,12,1,-1717.60,1368.60,1737.80,9,2645163
1771961178.259,7,13,1,-2473.10,1410.60,1846.00,255,2645163
1771961178.259,7,14,1,-1179.00,252.50,1463.80,255,2645163
1771961178.259,7,15,1,-1072.50,91.40,1435.90,255,2645163
1771961178.259,8,0,1,-243.40,809.80,827.30,255,2645191
1771961178.259,8,1,1,-463.20,901.60,796.00,255,2645191
1771961178.259,8,2,1,-715.40,972.60,750.40,255,2645191
1771961178.259,8,3,1,-930.00,820.60,820.00,255,2645191
1771961178.259,8,4,1,-101.20,1183.00,967.40,255,2645191
1771961178.259,8,5,1,-416.90,1285.90,946.60,255,2645191
1771961178.259,8,6,1,-755.90,1318.00,936.40,255,2645191
1771961178.259,8,7,1,-1126.00,1319.30,922.80,255,2645191
1771961178.259,8,8,1,-135.00,1158.40,1297.40,5,2645191
1771961178.259,8,9,1,-427.90,1260.30,1282.60,5,2645191
1771961178.259,8,10,1,-753.50,1359.30,1278.40,255,2645191
1771961178.259,8,11,1,-1114.60,1356.30,1290.80,255,2645191
1771961178.259,8,12,1,-185.00,1087.50,1591.60,5,2645191
1771961178.259,8,13,1,-444.00,1189.90,1586.80,5,2645191
1771961178.259,8,14,1,-745.90,1362.30,1625.60,255,2645191
1771961178.259,8,15,1,-1099.00,1384.10,1666.40,255,2645191
1771961178.259,1,0,1,160.30,475.60,712.30,5,2668688
1771961178.259,1,1,1,826.00,900.50,1034.50,5,2668688
1771961178.259,1,2,1,1054.10,703.30,1075.90,5,2668688
1771961178.259,1,3,1,1384.00,448.90,1181.50,4,2668688
1771961178.259,1,4,1,175.00,494.80,641.10,5,2668688
1771961178.259,1,5,1,337.40,525.60,659.20,5,2668688
1771961178.259,1,6,1,1044.20,699.20,752.00,5,2668688
1771961178.259,1,7,1,486.60,330.80,667.90,5,2668688
1771961178.259,1,8,1,169.00,486.90,566.70,5,2668688
1771961178.259,1,9,1,328.00,518.40,548.80,5,2668688
1771961178.259,1,10,1,366.40,418.50,551.00,5,2668688
1771961178.259,1,11,1,369.60,315.40,554.20,5,2668688
1771961178.259,1,12,1,155.20,469.00,497.60,5,2668688
1771961178.259,1,13,1,310.80,505.20,441.00,5,2668688
