local_time_s,sid,cell,valid,x_mm,y_mm,z_mm,target_status,sensor_ts_ms
1771961035.669,2,0,1,267.00,328.70,711.50,5,2526169
1771961035.669,2,1,1,436.70,282.70,775.10,5,2526169
1771961035.669,2,2,1,425.70,175.90,770.50,5,2526169
1771961035.669,2,3,1,467.50,45.50,801.50,5,2526169
1771961035.669,2,4,1,363.40,368.60,651.40,5,2526169
1771961035.669,2,5,1,492.30,290.10,665.20,5,2526169
1771961035.669,2,6,1,501.20,166.00,666.40,5,2526169
1771961035.669,2,7,1,567.70,4.00,680.50,5,2526169
1771961035.669,2,8,1,1049.50,652.80,457.30,5,2526169
1771961035.669,2,9,1,435.30,282.60,548.80,5,2526169
1771961035.669,2,10,1,436.30,174.50,548.70,5,2526169
1771961035.669,2,11,1,464.20,46.90,540.70,5,2526169
1771961035.669,2,12,1,265.20,327.90,495.70,5,2526169
1771961035.669,2,13,1,356.10,272.10,465.10,5,2526169
1771961035.669,2,14,1,380.80,181.80,454.80,5,2526169
1771961035.669,2,15,1,1156.40,-239.90,96.20,4,2526169
1771961035.669,3,0,1,441.90,-413.80,416.50,255,2528669
1771961035.669,3,1,1,540.20,-309.10,388.20,255,2528669
1771961035.669,3,2,1,504.50,-178.20,403.10,255,2528669
1771961035.669,3,3,1,494.90,-46.80,392.80,255,2528669
1771961035.669,3,4,1,2567.20,-1294.20,241.00,5,2528669
1771961035.669,3,5,1,583.70,-314.80,529.10,255,2528669
1771961035.669,3,6,1,581.80,-168.10,529.40,5,2528669
1771961035.669,3,7,1,497.10,-45.90,536.00,5,2528669
1771961035.669,3,8,1,2629.50,-1320.00,974.30,5,2528669
1771961035.669,3,9,1,566.00,-312.50,675.00,255,2528669
1771961035.669,3,10,1,605.30,-164.90,680.30,5,2528669
1771961035.669,3,11,1,581.40,-11.00,682.50,5,2528669
1771961035.669,3,12,1,2565.60,-1293.50,1742.10,5,2528669
1771961035.669,3,13,1,3006.90,-633.80,1848.90,4,2528669
1771961035.669,3,14,1,575.00,-168.90,832.90,5,2528669
1771961035.669,3,15,1,501.70,-44.00,816.80,5,2528669
1771961035.670,4,0,1,507.90,-941.30,257.70,255,2528702
1771961035.670,4,1,1,807.70,-899.20,181.50,10,2528702
1771961035.670,4,2,1,1082.30,-727.70,118.00,255,2528702
1771961035.670,4,3,1,1096.40,-423.70,145.20,255,2528702
1771961035.670,4,4,1,502.80,-934.60,494.50,10,2528702
1771961035.670,4,5,1,2555.60,-2240.30,179.20,255,2528702
1771961035.670,4,6,1,2705.80,-1400.20,217.70,5,2528702
1771961035.670,4,7,1,2694.30,-634.10,245.50,5,2528702
1771961035.670,4,8,1,518.50,-955.10,715.40,10,2528702
1771961035.670,4,9,1,2473.80,-2177.60,1013.80,255,2528702
1771961035.670,4,10,1,2218.50,-1198.30,919.40,10,2528702
1771961035.670,4,11,1,2739.50,-640.10,967.00,5,2528702
1771961035.670,4,12,1,487.60,-914.90,935.00,255,2528702
