local_time_s,sid,cell,x_mm,y_mm,z_mm,target_status,sensor_ts_ms
1771897938.204,1,8,403.40,358.20,605.50,5,205953
1771897938.204,1,9,430.80,455.60,624.00,5,205953
1771897938.204,1,10,302.10,464.30,665.30,5,205953
1771897938.204,1,11,250.40,500.60,687.60,5,205953
1771897938.204,1,12,312.40,361.80,565.20,5,205953
1771897938.204,1,13,640.50,623.50,410.40,5,205953
1771897938.204,1,14,865.40,1060.30,323.50,5,205953
1771897938.204,1,15,578.80,1076.60,461.40,5,205953
1771897938.204,2,0,425.00,142.60,708.30,5,205985
1771897938.204,2,1,2899.80,-78.40,815.90,5,205985
1771897938.204,2,2,2198.70,513.80,783.20,5,205985
1771897938.204,2,3,2077.30,1004.20,828.20,5,205985
1771897938.204,2,4,490.00,102.90,606.70,5,205985
1771897938.204,2,5,844.40,162.80,524.80,5,205985
1771897938.204,2,6,2202.00,539.40,225.40,5,205985
1771897938.204,2,7,2078.10,1083.30,272.30,5,205985
1771897938.204,2,8,796.60,-56.80,321.40,9,205985
1771897938.204,2,9,798.20,159.70,328.80,255,205985
1771897938.204,2,10,2077.20,549.30,-338.80,255,205985
1771897938.204,2,11,1872.20,1077.60,-253.20,255,205985
1771897938.204,2,12,738.50,-68.50,79.90,5,205985
1771897938.204,2,13,823.70,143.10,31.80,5,205985
1771897938.204,2,14,851.40,382.10,6.20,5,205985
1771897938.204,2,15,845.90,645.70,-24.40,9,205985
1771897938.204,3,0,922.20,-566.50,744.40,9,204575
1771897938.204,3,1,1128.70,-383.70,733.20,5,204575
1771897938.204,3,2,1131.70,-136.60,733.30,5,204575
1771897938.204,3,3,1126.60,123.30,759.20,255,204575
1771897938.204,3,4,779.80,-539.20,545.70,5,204575
1771897938.204,3,5,882.20,-363.00,516.50,255,204575
1771897938.204,3,6,2293.00,30.80,205.30,10,204575
1771897938.204,3,7,1688.80,399.40,354.30,255,204575
1771897938.204,3,8,722.30,-543.00,361.00,5,204575
1771897938.204,3,9,2015.70,-540.30,-306.70,5,204575
1771897938.204,3,10,2012.10,19.00,-304.90,5,204575
1771897938.204,3,11,2308.00,759.50,-486.00,5,204575
1771897938.204,3,12,578.80,-505.00,234.90,5,204575
1771897938.204,3,13,1646.30,-513.50,-726.60,5,204575
1771897938.204,3,14,1660.10,-4.90,-739.40,5,204575
1771897938.204,3,15,1946.70,704.90,-1092.90,5,204575
1771897938.204,4,0,1129.60,-607.40,97.60,5,204560
1771897938.204,4,1,835.10,-740.90,311.00,4,204560
1771897938.204,4,2,354.60,-550.80,565.80,5,204560
1771897938.204,4,3,449.30,-865.50,522.30,5,204560
1771897938.204,4,4,1261.50,-528.00,377.30,5,204560
1771897938.204,4,5,1328.60,-884.30,455.60,5,204560
1771897938.204,4,6,1083.30,-1110.60,585.60,255,204560
1771897938.204,4,7,315.00,-588.40,688.40,5,204560
1771897938.204,4,8,1226.60,-423.60,677.80,5,204560
1771897938.204,4,9,1231.30,-718.60,780.60,5,204560
1771897938.204,4,10,1137.90,-1010.10,898.60,255,204560
1771897938.204,4,11,390.30,-628.30,800.10,9,204560
1771897938.204,4,12,556.90,-310.50,797.70,5,204560
1771897938.204,4,13,614.20,-436.50,864.10,5,204560
1771897938.204,4,14,650.20,-601.30,960.00,5,204560
1771897938.204,4,15,317.40,-501.60,848.20,5,204560
1771897938.301,5,0,-887.40,-1460.30,1761.80,5,122734
1771897938.301,5,1,-521.40,-1496.90,1732.10,5,122734
1771897938.301,5,2,-166.00,-1484.30,1729.20,5,122734
1771897938.301,5,3,183.90,-1415.00,1750.40,5,122734
1771897938.301,5,4,-751.90,-1060.40,1376.80,5,122734
1771897938.301,5,5,-474.00,-1067.10,1367.00,5,122734
1771897938.301,5,6,-154.00,-1509.90,1348.20,5,122734
1771897938.301,5,7,153.40,-1273.00,1369.80,5,122734
1771897938.301,5,8,-764.80,-1041.40,1089.90,5,122734
1771897938.301,5,9,-482.80,-1085.40,1086.20,5,122734
1771897938.301,5,10,-143.40,-1521.30,948.30,5,122734
1771897938.301,5,11,187.90,-1293.80,1007.30,5,122734
1771897938.301,5,12,-649.10,-733.90,955.00,5,122734
1771897938.301,5,13,-443.00,-757.10,964.90,5,122734
1771897938.301,5,14,-234.20,-816.40,926.80,5,122734
1771897938.301,5,15,-22.60,-764.90,934.00,5,122734
1771897938.301,6,0,-2067.50,-265.10,1801.40,5,122718
1771897938.301,6,1,-2341.30,-824.80,1875.40,255,122718
1771897938.301,6,2,-2715.60,-1749.30,2052.20,255,122718
1771897938.301,6,3,-816.00,-508.00,1558.80,255,122718
1771897938.301,6,4,-2121.80,-242.70,1357.20,5,122718
1771897938.301,6,5,-2583.70,-911.90,1310.80,255,122718
1771897938.301,6,6,-2430.80,-1553.10,1302.80,5,122718
1771897938.301,6,7,-2099.10,-2187.00,1325.80,255,122718
1771897938.301,6,8,-1701.40,-162.50,1022.00,5,122718
1771897938.301,6,9,-1694.70,-533.40,977.60,5,122718
1771897938.301,6,10,-3275.30,-2227.70,276.20,255,122718
1771897938.301,6,11,-2099.30,-2269.90,564.70,255,122718
1771897938.301,6,12,-1161.20,-83.60,949.70,5,122718
1771897938.301,6,13,-1207.80,-327.90,870.60,255,122718
1771897938.301,6,14,-1936.90,-1207.60,183.50,255,122718
1771897938.301,6,15,-1533.70,-1578.10,224.10,255,122718
1771897938.302,7,0,-1176.10,564.50,836.30,5,122753
1771897938.302,7,1,-1014.50,781.60,798.70,5,122753
1771897938.302,7,2,-861.30,1131.60,653.50,255,122753
1771897938.302,7,3,-636.50,2302.70,-1.70,255,122753
1771897938.302,7,4,-853.90,349.10,1246.90,255,122753
1771897938.302,7,5,-743.10,443.10,1243.90,255,122753
1771897938.302,7,6,-728.50,783.40,1153.00,255,122753
1771897938.302,7,7,-656.30,2056.40,795.70,255,122753
1771897938.302,7,8,-4006.00,2796.90,1271.30,255,122753
1771897938.302,7,9,-946.30,714.00,1373.10,255,122753
1771897938.302,7,10,-744.50,808.70,1373.90,255,122753
1771897938.302,7,11,-978.30,4165.90,1282.20,2,122753
1771897938.302,7,12,-767.00,304.20,1514.40,255,122753
1771897938.302,7,13,-2076.30,2216.80,2022.80,255,122753
1771897938.302,7,14,-1443.10,2449.20,1996.90,10,122753
1771897938.302,7,15,-505.60,590.30,1543.90,255,122753
1771897938.302,8,0,-780.60,1021.40,759.60,5,122768
1771897938.302,8,1,-491.00,1089.10,751.60,5,122768
1771897938.302,8,2,-193.40,1099.20,745.20,5,122768
1771897938.302,8,3,71.10,969.50,794.80,5,122768
1771897938.302,8,4,-931.70,1427.80,963.30,5,122768
1771897938.302,8,5,-461.20,927.10,1136.20,255,122768
1771897938.302,8,6,167.00,3787.70,230.70,255,122768
1771897938.302,8,7,211.00,1346.90,989.80,255,122768
1771897938.302,8,8,-1451.20,2764.10,1320.60,255,122768
1771897938.302,8,9,-814.00,3669.10,1256.30,255,122768
1771897938.302,8,10,-165.60,1420.30,1352.00,255,122768
1771897938.302,8,11,1010.10,3360.60,1300.90,255,122768
1771897938.302,8,12,-1622.40,3345.60,2237.20,255,122768
1771897938.302,8,13,-783.30,3600.00,2205.10,255,122768
1771897938.302,8,14,-215.70,1084.80,1639.50,255,122768
1771897938.302,8,15,833.40,3080.70,2170.40,255,122768
1771897938.302,1,0,235.60,302.00,718.70,5,206019
1771897938.302,1,1,237.10,334.90,732.90,5,206019
1771897938.302,1,2,215.50,361.30,742.70,5,206019
1771897938.302,1,3,135.40,330.30,711.30,5,206019
1771897938.302,1,4,242.70,314.20,684.80,5,206019
1771897938.302,1,5,245.50,352.00,697.90,5,206019
1771897938.302,1,6,223.50,382.20,710.80,5,206019
1771897938.302,1,7,240.50,457.20,740.80,5,206019
1771897938.302,1,8,366.40,350.90,615.40,5,206019
1771897938.302,1,9,332.90,408.90,642.40,5,206019
1771897938.302,1,10,291.30,455.40,666.40,5,206019
1771897938.302,1,11,248.00,497.40,687.60,5,206019
1771897938.302,1,12,307.40,360.30,568.10,5,206019
1771897938.302,1,13,944.10,806.70,255.30,5,206019
1771897938.302,1,14,566.70,762.40,465.20,5,206019
1771897938.302,1,15,567.60,1058.40,466.70,5,206019
1771897938.302,2,0,424.00,143.00,708.30,5,206051
1771897938.302,2,1,1389.50,105.30,745.40,5,206051
1771897938.302,2,2,2195.70,513.50,783.00,5,206051
1771897938.302,2,3,2062.30,998.60,827.10,5,206051
1771897938.302,2,4,598.70,57.40,583.80,9,206051
1771897938.302,2,5,855.10,161.40,522.40,5,206051
1771897938.302,2,6,2195.20,538.50,226.90,5,206051
1771897938.302,2,7,2064.50,1077.60,275.20,5,206051
1771897938.302,2,8,732.90,-27.20,355.40,5,206051
1771897938.302,2,9,891.40,146.00,280.20,10,206051
1771897938.302,2,10,2077.20,549.30,-338.80,255,206051
1771897938.302,2,11,1872.20,1077.60,-253.20,255,206051
1771897938.302,2,12,732.50,-65.30,85.70,5,206051
1771897938.302,2,13,837.60,140.80,19.00,5,206051
1771897938.302,2,14,834.70,379.40,21.70,5,206051
1771897938.302,2,15,857.30,651.70,-35.50,9,206051
1771897938.302,3,0,1018.30,-602.90,751.40,5,204642
1771897938.302,3,1,1169.40,-388.70,735.10,5,204642
1771897938.302,3,2,1158.50,-133.40,734.60,9,204642
1771897938.302,3,3,1126.60,123.30,759.20,255,204642
1771897938.302,3,4,793.30,-544.90,542.80,5,204642
1771897938.302,3,5,882.20,-363.00,516.50,255,204642
1771897938.302,3,6,2293.00,30.80,205.30,255,204642
1771897938.302,3,7,1688.80,399.40,354.30,255,204642
1771897938.302,3,8,720.70,-542.30,361.90,5,204642
1771897938.302,3,9,2013.90,-540.00,-305.80,5,204642
1771897938.302,3,10,2007.80,18.40,-302.60,5,204642
1771897938.302,3,11,2374.10,790.20,-521.30,5,204642
1771897938.302,3,12,584.10,-507.80,229.70,5,204642
1771897938.302,3,13,1639.70,-512.40,-720.50,5,204642
1771897938.302,3,14,1647.00,-7.10,-727.30,5,204642
1771897938.302,3,15,1966.80,715.50,-1112.40,5,204642
1771897938.302,4,0,1133.00,-608.40,95.70,5,204627
1771897938.302,4,1,1033.60,-860.60,209.60,255,204627
1771897938.302,4,2,364.70,-560.90,561.00,5,204627
1771897938.302,4,3,336.60,-681.70,575.30,9,204627
1771897938.302,4,4,1245.40,-524.90,381.60,5,204627
1771897938.302,4,5,1332.10,-886.00,455.00,5,204627
1771897938.302,4,6,1061.00,-1092.10,587.90,255,204627
1771897938.302,4,7,389.60,-689.90,689.30,5,204627
1771897938.302,4,8,1232.60,-424.30,677.70,9,204627
1771897938.302,4,9,1295.80,-742.60,786.00,5,204627
1771897938.302,4,10,1151.70,-1019.60,901.50,5,204627
1771897938.302,4,11,410.10,-650.80,808.00,9,204627
1771897938.302,4,12,571.40,-310.90,801.30,5,204627
1771897938.302,4,13,583.10,-428.10,853.30,5,204627
1771897938.302,4,14,665.40,-609.70,967.60,5,204627
1771897938.302,4,15,328.90,-512.50,856.90,5,204627
1771897938.302,5,0,-895.50,-1481.20,1767.10,5,122800
1771897938.302,5,1,-521.30,-1495.90,1731.80,5,122800
1771897938.302,5,2,-165.40,-1489.10,1730.30,5,122800
1771897938.302,5,3,183.90,-1415.00,1750.40,5,122800
1771897938.302,5,4,-751.10,-1058.50,1376.90,5,122800
1771897938.302,5,5,-474.80,-1073.00,1366.80,5,122800
1771897938.302,5,6,-153.80,-1510.90,1348.10,5,122800
1771897938.302,5,7,209.50,-1409.90,1365.30,5,122800
1771897938.302,5,8,-752.30,-1012.40,1099.40,5,122800
1771897938.302,5,9,-481.40,-1075.00,1089.50,5,122800
1771897938.302,5,10,-149.60,-1475.90,962.60,5,122800
1771897938.302,5,11,201.60,-1325.40,997.00,5,122800
1771897938.302,5,12,-647.30,-730.00,957.60,9,122800
1771897938.302,5,13,-444.40,-767.10,958.40,5,122800
1771897938.302,5,14,-235.20,-809.70,931.10,5,122800
1771897938.302,5,15,-27.20,-754.80,940.80,5,122800
1771897938.302,6,0,-2044.40,-261.50,1795.90,5,122784
1771897938.302,6,1,-2414.10,-855.50,1893.00,255,122784
1771897938.302,6,2,-2715.60,-1749.30,2052.20,255,122784
1771897938.302,6,3,-816.00,-508.00,1558.80,255,122784
1771897938.302,6,4,-2110.90,-241.20,1357.60,5,122784
1771897938.302,6,5,-2595.70,-916.80,1310.30,255,122784
1771897938.302,6,6,-2434.00,-1555.50,1302.60,5,122784
1771897938.302,6,7,-2099.10,-2187.00,1325.80,255,122784
1771897938.302,6,8,-1712.80,-163.80,1018.60,5,122784
1771897938.302,6,9,-1658.50,-518.60,989.90,5,122784
1771897938.302,6,10,-3275.30,-2227.70,276.20,255,122784
1771897938.302,6,11,-2099.30,-2269.90,564.70,255,122784
1771897938.302,6,12,-1164.60,-83.90,947.60,5,122784
1771897938.302,6,13,-1159.90,-308.80,903.20,5,122784
1771897938.302,6,14,-1976.00,-1238.40,151.90,255,122784
1771897938.302,6,15,-1533.70,-1578.10,224.10,255,122784
1771897938.397,7,0,-1196.90,579.30,820.60,5,122821
1771897938.397,7,1,-1016.00,783.60,797.10,5,122821
1771897938.397,7,2,-861.30,1131.60,653.50,255,122821
1771897938.397,7,3,-636.50,2302.70,-1.70,255,122821
1771897938.397,7,4,-853.90,349.10,1246.90,255,122821
1771897938.397,7,5,-743.10,443.10,1243.90,255,122821
1771897938.397,7,6,-728.50,783.40,1153.00,255,122821
1771897938.397,7,7,-656.30,2056.40,795.70,255,122821
1771897938.397,7,8,-4006.00,2796.90,1271.30,255,122821
1771897938.397,7,9,-946.30,714.00,1373.10,255,122821
1771897938.397,7,10,-744.50,808.70,1373.90,255,122821
1771897938.397,7,11,-493.50,576.10,1392.70,4,122821
1771897938.397,7,12,-767.00,304.20,1514.40,255,122821
1771897938.397,7,13,-2076.30,2216.80,2022.80,255,122821
1771897938.397,7,14,-1446.50,2457.30,1998.90,5,122821
1771897938.397,7,15,-514.60,649.00,1557.90,10,122821
1771897938.397,8,0,-775.30,1009.80,767.50,5,122836
1771897938.397,8,1,-488.00,1068.20,765.00,5,122836
1771897938.397,8,2,-197.60,1069.90,763.90,5,122836
1771897938.397,8,3,48.80,920.70,827.90,5,122836
1771897938.397,8,4,-954.50,1480.60,946.10,5,122836
1771897938.397,8,5,-461.20,927.10,1136.20,255,122836
1771897938.397,8,6,167.00,3787.70,230.70,255,122836
1771897938.397,8,7,211.00,1346.90,989.80,255,122836
1771897938.397,8,8,-1451.20,2764.10,1320.60,255,122836
1771897938.397,8,9,-814.00,3669.10,1256.30,255,122836
1771897938.397,8,10,-165.60,1420.30,1352.00,255,122836
1771897938.397,8,11,1010.10,3360.60,1300.90,255,122836
1771897938.397,8,12,-1622.40,3345.60,2237.20,255,122836
1771897938.397,8,13,-783.30,3600.00,2205.10,255,122836
1771897938.397,8,14,-215.70,1084.80,1639.50,255,122836
1771897938.397,8,15,833.40,3080.70,2170.40,255,122836
1771897938.397,1,0,237.50,302.00,719.20,5,206149
1771897938.397,1,1,238.90,335.40,733.60,5,206149
1771897938.397,1,2,213.90,360.40,741.90,5,206149
1771897938.397,1,3,135.40,330.30,711.30,5,206149
1771897938.397,1,4,243.70,314.30,684.80,5,206149
1771897938.397,1,5,246.40,352.30,698.00,5,206149
1771897938.397,1,6,224.30,382.70,711.00,5,206149
1771897938.397,1,7,246.30,463.70,743.10,5,206149
