local_time_s,sid,cell,valid,x_mm,y_mm,z_mm,target_status,sensor_ts_ms
1771906538.981,5,2,1,-617.40,-2267.80,1829.20,5,1377
1771906538.981,5,3,1,-451.10,-341.10,1403.50,255,1377
1771906538.981,5,4,1,487.60,-2087.70,1266.70,5,1377
1771906538.981,5,5,1,-52.20,-2288.60,1238.80,5,1377
1771906538.981,5,6,1,-645.70,-2381.70,1234.90,5,1377
1771906538.981,5,7,1,-1320.60,-2446.50,1254.90,4,1377
1771906538.981,5,8,1,524.40,-2073.80,676.00,5,1377
1771906538.981,5,11,1,-434.30,-275.40,1264.20,5,1377
1771906538.981,5,12,1,495.40,-1899.00,88.50,5,1377
1771906538.981,5,13,1,-307.90,-305.80,1178.10,255,1377
1771906538.981,5,14,1,-374.10,-279.90,1194.70,255,1377
1771906538.981,5,15,1,-420.00,-232.30,1219.00,5,1377
1771906539.085,5,3,1,-1219.40,-2312.00,1900.30,4,1601
1771906539.085,5,4,1,471.30,-2048.00,1268.00,5,1601
1771906539.085,5,5,1,-53.20,-2281.70,1239.10,5,1601
1771906539.085,5,6,1,-646.40,-2386.70,1234.70,5,1601
1771906539.085,5,7,1,-449.50,-323.30,1324.90,255,1601
1771906539.085,5,8,1,529.00,-2084.30,672.60,5,1601
1771906539.085,5,9,1,-40.20,-2274.70,633.60,5,1601
1771906539.085,5,10,1,-381.60,-346.20,1244.00,255,1601
1771906539.085,5,11,1,-433.60,-273.70,1264.80,5,1601
1771906539.085,5,12,1,474.50,-1853.30,119.50,5,1601
1771906539.085,5,13,1,-308.30,-303.30,1179.70,255,1601
1771906539.085,5,14,1,-374.70,-284.10,1192.00,255,1601
1771906539.085,5,15,1,-418.90,-229.90,1220.60,5,1601
1771906539.186,1,1,1,336.90,479.00,872.10,5,7754748
1771906539.186,1,2,1,417.40,429.30,890.90,5,7754748
1771906539.186,1,3,1,508.30,352.00,919.20,5,7754748
1771906539.186,1,4,1,275.40,525.00,786.90,5,7754748
1771906539.186,1,0,1,269.80,517.60,863.70,5,7754748
1771906539.186,1,1,1,346.40,486.30,877.10,5,7754748
1771906539.186,1,2,1,428.50,433.90,895.90,5,7754748
1771906539.186,1,3,1,527.50,354.50,927.20,5,7754748
1771906539.186,1,4,1,279.60,530.50,787.80,5,7754748
1771906539.186,1,5,1,360.40,497.00,792.20,5,7754748
1771906539.186,1,6,1,435.00,436.60,796.80,5,7754748
1771906539.186,1,7,1,543.00,356.60,807.90,5,7754748
1771906539.186,1,8,1,279.00,529.70,710.90,5,7754748
1771906539.186,1,9,1,356.40,494.00,707.00,5,7754748
