local_time_s,sid,cell,valid,x_mm,y_mm,z_mm,target_status,sensor_ts_ms
1772481326.819,6,9,1,-1746.10,-972.90,791.40,5,2327492
1772481326.819,6,10,1,-2307.50,-747.30,673.20,5,2327492
1772481326.819,6,11,1,-3104.10,-315.90,497.80,10,2327492
1772481326.819,6,12,1,-1240.10,-1040.80,504.00,5,2327492
1772481326.819,6,13,1,-1664.90,-923.50,348.00,5,2327492
1772481326.819,6,14,1,-2091.60,-645.70,200.10,5,2327492
1772481326.819,6,15,1,-708.80,-31.90,1158.30,255,2327492
1772481326.819,7,0,1,-1395.10,1271.20,339.10,5,2327508
1772481326.819,7,1,1,-1604.50,888.70,396.80,255,2327508
1772481326.819,7,2,1,-2170.80,690.10,146.00,255,2327508
1772481326.819,7,3,1,-2421.00,208.00,97.10,255,2327508
1772481326.819,7,4,1,-1260.60,1036.50,904.20,5,2327508
1772481326.819,7,5,1,-1510.80,803.10,884.70,255,2327508
1772481326.819,7,6,1,-3098.20,1082.70,405.30,5,2327508
1772481326.819,7,7,1,-3557.80,381.60,360.70,255,2327508
1772481326.819,7,8,1,-1295.70,1044.90,1243.40,5,2327508
1772481326.819,7,9,1,-1548.80,822.30,1227.40,255,2327508
1772481326.819,7,10,1,-4249.40,1579.60,1111.80,255,2327508
1772481326.819,7,11,1,-971.60,88.00,1268.40,255,2327508
1772481326.819,7,12,1,-1309.10,1025.20,1583.60,5,2327508
1772481326.819,7,13,1,-3730.00,2462.00,2184.20,2,2327508
1772481326.819,7,14,1,-4168.90,1572.00,2169.60,2,2327508
1772481326.819,7,15,1,-4235.90,596.20,2168.50,2,2327508
1772481326.819,8,0,1,-144.30,720.70,836.90,5,2327540
1772481326.819,8,1,1,-338.50,798.00,811.60,255,2327540
1772481326.819,8,2,1,-533.30,678.50,888.30,5,2327540
1772481326.819,8,3,1,-688.10,596.90,920.90,5,2327540
1772481326.819,8,4,1,-142.50,763.50,1053.80,5,2327540
1772481326.819,8,5,1,-335.30,861.40,1030.10,255,2327540
1772481326.819,8,6,1,-527.80,672.30,1090.00,5,2327540
1772481326.819,8,7,1,-699.10,653.60,1089.70,5,2327540
1772481326.819,8,8,1,-153.50,772.80,1259.30,5,2327540
1772481326.819,8,9,1,-338.00,878.80,1248.00,5,2327540
1772481326.819,8,10,1,-532.20,735.20,1254.10,5,2327540
1772481326.819,8,11,1,-687.70,656.20,1263.10,5,2327540
1772481326.819,8,12,1,-169.40,769.20,1460.60,255,2327540
1772481326.819,8,13,1,-358.00,757.90,1438.90,255,2327540
1772481326.819,8,14,1,-540.00,830.60,1455.20,5,2327540
1772481326.819,8,15,1,-682.80,674.80,1436.80,5,2327540
1772481326.819,1,0,1,481.70,707.90,717.10,5,2338916
1772481326.819,1,1,1,543.30,585.50,699.10,5,2338916
1772481326.819,1,2,1,620.90,484.10,706.00,5,2338916
1772481326.819,1,3,1,656.10,359.90,706.80,5,2338916
1772481326.819,1,4,1,462.00,682.30,565.90,5,2338916
1772481326.819,1,5,1,573.30,608.50,569.40,5,2338916
1772481326.819,1,6,1,665.20,502.40,572.90,5,2338916
