local_time_s,sid,cell,valid,x_mm,y_mm,z_mm,target_status,sensor_ts_ms
1772480062.294,1,1,1,662.80,677.20,761.50,5,1075204
1772480062.294,1,2,1,847.90,578.10,807.80,5,1075204
1772480062.294,1,7,1,1117.60,420.70,628.10,9,1075204
1772480062.294,1,8,1,519.40,757.00,425.00,5,1075204
1772480062.294,1,9,1,681.90,691.80,415.90,5,1075204
1772480062.294,1,10,1,859.40,582.90,402.70,5,1075204
1772480062.294,1,11,1,1095.00,417.70,378.20,9,1075204
1772480062.294,1,12,1,498.60,729.90,274.70,5,1075204
1772480062.294,1,13,1,657.70,673.20,244.50,5,1075204
1772480062.294,1,14,1,830.90,571.00,203.20,9,1075204
1772480062.294,1,15,1,1040.80,410.60,135.80,5,1075204
1772480062.294,2,0,1,1279.70,713.60,995.70,5,1075253
1772480062.294,2,1,1,1763.40,465.90,1164.10,255,1075253
1772480062.294,2,2,1,2192.00,-8.00,1343.20,255,1075253
1772480062.294,2,3,1,2397.90,-662.40,1497.00,255,1075253
1772480062.294,2,4,1,1442.80,781.10,681.90,5,1075253
1772480062.294,2,5,1,2778.70,599.60,847.00,255,1075253
1772480062.294,2,6,1,2552.60,-55.50,817.00,255,1075253
1772480062.294,2,7,1,2583.20,-739.20,844.40,4,1075253
1772480062.294,2,8,1,1411.60,768.20,325.80,5,1075253
1772480062.294,2,9,1,1817.40,473.00,283.90,255,1075253
1772480062.294,2,10,1,1902.90,30.10,272.60,255,1075253
1772480062.294,2,11,1,2724.20,-797.60,138.80,255,1075253
1772480062.294,2,12,1,1217.40,687.80,35.50,5,1075253
1772480062.294,2,15,1,1107.30,-127.80,84.90,5,1075253
1772480062.294,7,0,1,-650.70,225.80,1130.90,5,1063926
1772480062.294,7,1,1,-703.00,178.90,1125.10,5,1063926
1772480062.294,7,2,1,-949.40,201.80,981.00,5,1063926
1772480062.294,7,3,1,-894.30,62.30,1043.30,5,1063926
1772480062.294,7,5,1,-742.50,207.30,1189.60,5,1063926
1772480062.294,7,5,1,-742.50,207.30,1189.60,5,1063926
1772480062.294,7,6,1,-893.20,182.60,1152.20,255,1063926
1772480062.294,7,7,1,-903.70,71.60,1163.10,5,1063926
1772480062.294,7,8,1,-1132.60,833.70,1251.50,5,1063926
1772480062.294,7,9,1,-774.50,229.50,1268.50,5,1063926
1772480062.294,7,10,1,-860.50,171.80,1266.60,5,1063926
1772480062.294,7,11,1,-898.30,78.10,1270.70,5,1063926
1772480062.294,7,12,1,-1120.40,789.70,1512.70,5,1063926
1772480062.294,7,13,1,-1532.50,800.10,1569.30,5,1063926
1772480062.294,7,14,1,-855.90,172.40,1367.00,5,1063926
1772480062.294,7,15,1,-876.60,81.80,1370.30,5,1063926
1772480062.410,3,0,1,1221.70,-689.60,33.60,5,1078089
1772480062.410,3,1,1,1228.40,-395.50,62.70,255,1078089
1772480062.410,3,2,1,1233.00,-118.30,60.80,255,1078089
1772480062.410,3,3,1,1108.20,128.20,84.50,255,1078089
1772480062.410,3,8,1,1662.60,-872.20,713.20,5,1078089
1772480062.410,3,9,1,1699.40,-457.50,703.70,255,1078089
1772480062.410,3,10,1,3352.80,160.80,923.20,255,1078089
1772480062.410,3,11,1,2420.10,671.60,821.20,5,1078089
1772480062.410,3,12,1,1558.80,-829.20,1120.80,5,1078089
1772480062.410,3,13,1,1844.00,-476.50,1197.80,255,1078089
1772480062.410,3,14,1,2236.90,13.90,1361.90,255,1078089
1772480062.410,3,14,1,2236.90,13.90,1361.90,255,1078089
1772480062.410,3,15,1,2216.90,587.50,1415.90,255,1078089
1772480062.410,3,2,1,1233.00,-118.30,60.80,255,1078089
1772480062.410,3,3,1,1108.20,128.20,84.50,255,1078089
1772480062.410,3,4,1,1000.00,118.70,362.00,255,1078089
1772480062.410,3,7,1,2266.20,607.90,204.10,255,1078089
1772480062.410,3,8,1,1699.20,-887.40,718.50,5,1078089
1772480062.410,3,10,1,3352.80,160.80,923.20,255,1078089
1772480062.410,3,10,1,3352.80,160.80,923.20,255,1078089
1772480062.410,3,11,1,2420.10,671.60,821.20,255,1078089
1772480062.410,3,12,1,1581.90,-838.80,1131.20,9,1078089
1772480062.410,3,13,1,1844.00,-476.50,1197.80,255,1078089
1772480062.410,3,14,1,2236.90,13.90,1361.90,255,1078089
1772480062.410,3,15,1,2216.90,587.50,1415.90,255,1078089
1772480062.410,3,8,1,1680.90,-879.80,715.80,5,1078089
1772480062.410,3,9,1,1699.40,-457.50,703.70,255,1078089
1772480062.410,3,0,1,1274.60,-711.50,9.90,10,1078089
1772480062.410,3,1,1,1216.50,-393.90,67.70,255,1078089
1772480062.410,3,2,1,1233.00,-118.30,60.80,255,1078089
1772480062.410,3,3,1,1127.00,136.00,76.10,255,1078089
1772480062.410,3,4,1,1687.30,-882.40,286.50,5,1078089
1772480062.410,3,5,1,2956.60,-623.00,132.70,255,1078089
1772480062.410,3,6,1,1229.60,-118.70,362.00,255,1078089
1772480062.410,3,7,1,2266.20,607.90,204.10,255,1078089
1772480062.410,3,8,1,1691.90,-884.30,717.40,5,1078089
1772480062.410,3,11,1,2420.10,671.60,821.20,255,1078089
1772480062.410,3,12,1,1558.00,-828.90,1120.40,5,1078089
1772480062.410,3,13,1,1844.00,-476.50,1197.80,255,1078089
1772480062.410,3,14,1,2236.90,13.90,1361.90,255,1078089
1772480062.410,3,15,1,2216.90,587.50,10806.30,5,1078089
1772480062.410,3,11,1,2334.00,636.00,808.90,255,1078089
1772480062.410,3,12,1,1552.90,-826.70,1118.20,9,1078089
1772480062.410,3,13,1,1844.00,-476.50,1197.80,255,1078089
1772480062.410,3,14,1,2236.90,13.90,1361.90,255,1078089
1772480062.410,3,15,1,2227.20,591.70,1420.50,255,1078089
1772480062.410,1,1,1,658.40,673.80,759.20,5,1075403
1772480062.410,1,2,1,847.90,578.10,807.80,5,1075403
1772480062.410,1,3,1,1157.10,425.90,916.10,5,1075403
1772480062.410,1,4,1,519.40,757.00,578.30,5,1075403
1772480062.410,1,5,1,682.70,692.40,587.50,5,1075403
1772480062.410,1,6,1,855.70,581.30,600.10,5,1075403
1772480062.410,1,7,1,1177.60,428.60,636.10,5,1075403
1772480062.410,1,8,1,518.20,755.40,425.30,5,1075403
1772480062.410,1,1,1,659.10,674.30,759.60,5,1075403
1772480062.410,1,2,1,830.00,570.70,799.80,5,1075403
1772480062.410,1,3,1,1123.20,421.40,901.90,5,1075403
1772480062.410,1,4,1,517.60,754.60,577.90,5,1075403
1772480062.410,1,5,1,680.30,690.60,587.10,5,1075403
1772480062.410,1,6,1,853.00,580.20,599.70,5,1075403
1772480062.410,1,7,1,1101.90,418.60,626.00,9,1075403
1772480062.410,1,8,1,517.60,754.60,425.40,5,1075403
1772480062.410,1,9,1,676.40,687.60,416.80,5,1075403
1772480062.410,1,10,1,842.00,575.70,405.20,5,1075403
1772480062.410,1,13,1,651.80,668.70,247.50,5,1075403
1772480062.410,1,14,1,815.50,564.70,210.00,5,1075403
1772480062.410,1,15,1,1062.80,413.50,126.60,5,1075403
1772480062.548,5,3,1,-1167.90,-1919.30,1750.50,5,1064042
1772480062.548,5,4,1,-34.70,-1062.20,1249.70,5,1064042
1772480062.548,5,5,1,-308.60,-1103.70,1238.40,5,1064042
1772480062.548,5,6,1,-582.10,-1116.60,1237.90,5,1064042
1772480062.548,5,6,1,-580.50,-1104.70,1238.40,5,1064042
1772480062.548,5,7,1,-1241.60,-2006.30,1218.60,255,1064042
1772480062.548,5,8,1,-19.60,-1048.40,960.60,5,1064042
1772480062.548,5,9,1,-302.70,-1099.60,954.70,5,1064042
1772480062.548,5,10,1,-584.80,-1088.30,958.30,5,1064042
1772480062.548,5,11,1,-1266.70,-1969.10,659.50,5,1064042
1772480062.548,5,12,1,-19.50,-994.00,651.50,5,1064042
1772480062.548,5,13,1,-302.00,-1051.20,649.20,5,1064042
1772480062.548,5,14,1,-583.70,-1027.80,664.20,5,1064042
1772480062.548,5,15,1,-1228.30,-1779.80,118.60,5,1064042
1772480062.548,2,0,1,1273.80,711.10,993.00,5,1075521
