local_time_s,sid,cell,valid,x_mm,y_mm,z_mm,target_status,sensor_ts_ms
1771905531.912,1,0,1,778.20,1180.20,1209.70,255,6752588
1771905531.912,1,1,1,1037.60,1016.70,1238.00,255,6752588
1771905531.912,1,2,1,3368.10,1651.50,2213.80,255,6752588
1771905531.912,1,3,1,3003.40,680.50,1961.60,255,6752588
1771905531.912,1,4,1,558.50,893.90,848.10,5,6752588
1771905531.912,1,5,1,788.30,825.40,863.20,5,6752588
1771905531.912,1,6,1,3419.30,1672.70,1222.10,255,6752588
1771905531.912,1,7,1,3139.00,698.30,1152.60,255,6752588
1771905531.912,1,8,1,504.20,823.10,662.20,5,6752588
1771905531.912,1,9,1,583.00,667.80,669.40,4,6752588
1771905531.912,1,10,1,741.90,563.70,658.10,255,6752588
1771905531.912,1,11,1,3388.60,731.20,312.80,255,6752588
1771905531.912,1,12,1,394.10,679.60,550.30,5,6752588
1771905531.912,1,13,1,529.70,626.90,525.80,5,6752588
1771905531.912,1,14,1,688.00,541.30,486.40,255,6752588
1771905531.912,1,15,1,1372.10,465.70,218.50,255,6752588
1771905531.912,2,0,1,2680.10,1323.10,1899.60,5,6752622
1771905531.912,2,1,1,2680.90,598.20,1821.60,255,6752622
1771905531.912,2,2,1,2658.00,-74.50,1812.00,5,6752622
1771905531.912,2,3,1,2544.40,-746.20,1838.80,5,6752622
1771905531.912,2,4,1,2738.60,1347.40,1123.30,5,6752622
1771905531.912,2,5,1,2787.00,612.20,1104.20,5,6752622
1771905531.912,2,6,1,2740.80,-85.40,1098.10,5,6752622
1771905531.912,2,7,1,2579.20,-760.60,1100.50,5,6752622
1771905531.912,2,8,1,2648.80,1310.20,388.10,5,6752622
1771905531.912,2,9,1,2802.70,614.30,392.30,5,6752622
1771905531.912,2,10,1,2795.80,-92.70,393.20,5,6752622
1771905531.912,2,11,1,2616.70,-776.20,392.70,5,6752622
1771905531.912,2,12,1,1326.30,762.40,205.90,255,6752622
1771905531.912,2,13,1,2509.60,575.70,-251.40,255,6752622
1771905531.912,2,14,1,2579.20,-64.20,-280.50,10,6752622
1771905531.912,2,15,1,1410.00,-276.30,168.40,255,6752622
1771905531.912,3,0,1,1324.60,-761.70,206.70,255,6756021
1771905531.912,3,1,1,1629.30,-459.80,116.30,255,6756021
1771905531.912,3,2,1,1472.70,-81.50,181.80,255,6756021
1771905531.912,3,3,1,1372.40,260.80,185.20,255,6756021
1771905531.912,3,4,1,2167.00,-1110.60,456.80,5,6756021
1771905531.912,3,5,1,2718.20,-603.20,403.50,5,6756021
1771905531.912,3,6,1,2721.10,82.80,403.10,5,6756021
1771905531.912,3,7,1,2647.90,789.10,388.30,5,6756021
1771905531.912,3,8,1,2577.40,-1280.60,1100.30,5,6756021
1771905531.912,3,9,1,2709.30,-602.00,1093.90,5,6756021
1771905531.912,3,10,1,2730.90,84.10,1096.80,5,6756021
1771905531.912,3,11,1,2635.10,783.80,1108.50,5,6756021
1771905531.912,3,12,1,2501.70,-1249.20,1819.70,5,6756021
1771905531.912,3,13,1,2643.30,-593.30,1805.90,5,6756021
1771905531.912,3,14,1,2614.90,68.90,1794.00,5,6756021
1771905531.912,3,15,1,2486.30,722.20,1812.80,5,6756021
1771905531.912,4,0,1,759.60,-1156.00,301.60,255,6756006
1771905531.912,4,1,1,995.80,-984.60,282.40,255,6756006
1771905531.912,4,2,1,1158.30,-736.10,275.50,255,6756006
1771905531.912,4,3,1,1253.00,-450.00,268.30,255,6756006
1771905531.912,4,4,1,1252.00,-1797.60,500.50,5,6756006
1771905531.912,4,5,1,1036.00,-1015.50,594.20,5,6756006
1771905531.912,4,6,1,2269.70,-1196.50,440.30,10,6756006
1771905531.912,4,7,1,2768.40,-649.50,395.20,255,6756006
1771905531.912,4,8,1,675.60,-1046.50,873.40,5,6756006
1771905531.912,4,9,1,977.00,-970.20,894.60,5,6756006
1771905531.912,4,10,1,1277.70,-785.60,916.90,255,6756006
1771905531.912,4,11,1,2926.60,-670.40,1124.40,10,6756006
1771905531.912,4,12,1,692.70,-1068.80,1151.50,5,6756006
1771905531.912,4,13,1,1622.50,-1465.50,1543.40,5,6756006
1771905531.912,4,14,1,2123.70,-1136.00,1655.90,5,6756006
1771905531.912,4,15,1,2817.50,-656.00,1884.00,5,6756006
1771905531.912,8,0,1,77.50,983.40,709.20,5,31404
1771905531.912,8,1,1,-200.60,1049.00,701.10,10,31404
1771905531.912,8,2,1,-488.70,1073.20,685.60,5,31404
1771905531.912,8,3,1,-762.20,981.10,710.70,5,31404
1771905531.912,8,4,1,129.10,1157.00,975.70,10,31404
1771905531.912,8,5,1,-150.00,1472.50,887.30,5,31404
1771905531.912,8,6,1,-540.60,1507.50,876.30,5,31404
1771905531.912,8,7,1,-929.80,1423.40,888.60,255,31404
1771905531.912,8,8,1,871.20,3022.10,1235.90,255,31404
1771905531.912,8,9,1,-143.20,1591.60,1268.50,5,31404
1771905531.912,8,10,1,-537.10,1550.00,1270.20,255,31404
1771905531.912,8,11,1,-985.60,1629.50,1281.80,255,31404
1771905531.912,8,12,1,1049.40,3634.90,2233.90,255,31404
1771905531.912,8,13,1,-129.70,1775.30,1718.60,255,31404
1771905531.912,8,14,1,-528.00,1549.70,1667.80,255,31404
1771905531.912,8,15,1,-977.50,1691.10,1743.90,255,31404
1771905531.912,1,0,1,778.20,1180.20,1209.70,255,6752653
1771905531.912,1,1,1,1037.60,1016.70,1238.00,255,6752653
1771905531.912,1,2,1,3368.10,1651.50,2213.80,255,6752653
1771905531.912,1,3,1,3003.40,680.50,1961.60,255,6752653
1771905531.912,1,4,1,1235.10,1775.60,994.40,5,6752653
1771905531.912,1,5,1,751.30,797.00,857.10,5,6752653
1771905531.912,1,6,1,3419.30,1672.70,1222.10,255,6752653
1771905531.912,1,7,1,3139.00,698.30,1152.60,255,6752653
1771905531.912,1,8,1,473.40,783.00,668.90,5,6752653
1771905531.912,1,9,1,583.00,667.80,669.40,255,6752653
1771905531.912,1,10,1,741.90,563.70,658.10,255,6752653
1771905531.912,1,11,1,3388.60,731.20,312.80,255,6752653
1771905531.912,1,12,1,399.70,686.90,546.50,5,6752653
