local_time_s,sid,cell,x_mm,y_mm,z_mm,target_status,sensor_ts_ms
1771898967.078,3,14,3950.40,244.70,-853.40,255,186639
1771898967.078,3,15,2310.50,649.30,-235.30,255,186639
1771898967.078,2,0,1149.70,-168.50,1213.50,5,183329
1771898967.078,2,1,1883.00,27.50,1488.30,255,183329
1771898967.078,2,2,1097.10,389.70,1159.90,255,183329
1771898967.078,2,3,2543.50,1266.60,1838.40,255,183329
1771898967.078,2,4,1273.00,-219.60,914.40,5,183329
1771898967.078,2,10,3307.00,680.70,325.40,10,183329
1771898967.078,2,11,1707.20,920.10,522.30,255,183329
1771898967.078,2,12,1266.60,-216.90,232.70,9,183329
1771898967.078,2,13,1426.00,87.70,201.30,255,183329
1771898967.078,2,14,1495.60,442.20,172.20,255,183329
1771898967.078,2,15,1411.70,797.80,167.60,255,183329
1771898967.185,3,0,1354.50,-774.10,1305.30,5,186769
1771898967.185,3,1,1466.30,-438.30,1314.10,255,186769
1771898967.185,3,2,1382.90,-93.30,1279.30,255,186769
1771898967.185,3,3,1284.50,224.40,1274.00,255,186769
1771898967.185,3,4,1445.20,-811.60,939.00,5,186769
1771898967.185,3,5,1111.00,-391.60,881.70,255,186769
1771898967.185,3,6,780.70,-172.60,837.80,255,186769
1771898967.185,3,7,2396.90,685.10,1074.60,255,186769
1771898967.185,3,8,1442.50,-810.50,560.00,5,186769
1771898967.185,3,9,2349.60,-554.60,452.50,255,186769
1771898967.185,3,10,2409.50,41.80,444.50,255,186769
1771898967.185,3,11,2483.90,721.20,411.60,255,186769
1771898967.185,3,12,1317.00,-758.50,210.10,5,186769
1771898967.185,3,13,1186.00,-401.40,301.60,255,186769
1771898967.185,3,14,3950.40,244.70,-853.40,255,186769
1771898967.185,3,15,2310.50,649.30,-235.30,255,186769
1771898967.320,4,5,1132.80,-790.80,555.80,5,186854
1771898967.320,4,6,835.90,-905.90,674.40,5,186854
1771898967.320,4,7,763.60,-1198.10,757.20,9,186854
1771898967.320,4,8,1632.10,-468.70,738.30,5,186854
1771898967.320,4,9,1202.30,-707.80,841.60,9,186854
1771898967.320,4,10,859.90,-819.20,905.00,5,186854
1771898967.320,4,11,769.50,-1061.50,1013.80,5,186854
1771898967.320,4,12,1623.70,-338.80,1123.60,5,186854
1771898967.320,4,13,1174.40,-587.30,1122.40,5,186854
1771898967.320,4,14,860.30,-717.30,1128.50,5,186854
1771898967.320,4,15,774.60,-932.10,1255.80,5,186854
1771898967.320,5,4,-1058.50,-1807.50,1276.00,5,63659
1771898967.320,5,5,-579.30,-1873.50,1256.50,5,63659
1771898967.320,5,6,-106.00,-1877.50,1256.30,5,63659
1771898967.320,5,0,-1004.00,-1759.70,1761.10,5,63659
1771898967.320,5,1,-561.90,-1822.30,1729.00,5,63659
1771898967.320,5,2,-121.00,-1845.60,1734.30,5,63659
1771898967.320,5,3,307.60,-1732.50,1754.20,5,63659
1771898967.320,5,4,-1080.90,-1862.10,1274.10,5,63659
1771898967.320,5,5,-577.60,-1860.60,1257.00,5,63659
1771898967.320,5,6,-107.40,-1866.60,1256.80,5,63659
1771898967.320,5,7,363.60,-1785.30,1276.70,5,63659
1771898967.320,5,8,-1102.10,-1823.20,758.00,5,63659
1771898967.320,5,9,-590.30,-1871.00,761.40,5,63659
1771898967.320,5,10,-94.00,-1881.40,758.10,5,63659
1771898967.320,5,11,389.70,-1761.60,778.10,255,63659
1771898967.320,5,12,-1069.80,-1655.10,253.90,5,63659
1771898967.320,5,13,-584.80,-1739.70,258.40,9,63659
1771898967.320,5,14,-98.30,-1758.10,246.60,5,63659
1771898967.320,5,15,368.80,-1621.80,276.50,5,63659
1771898967.320,6,0,-654.90,-48.80,1389.50,5,63675
1771898967.320,6,1,-633.10,-103.10,1385.30,5,63675
1771898967.320,6,2,-560.80,-119.80,1373.10,5,63675
1771898967.320,6,3,-523.80,-143.40,1372.80,5,63675
1771898967.320,6,4,-657.80,-44.90,1326.10,5,63675
1771898967.320,6,5,-614.70,-94.00,1324.60,255,63675
1771898967.320,6,6,-553.20,-115.40,1326.40,5,63675
1771898967.320,6,7,-527.90,-153.50,1328.10,5,63675
1771898967.320,6,8,-654.10,-40.10,1262.50,5,63675
1771898967.320,6,9,-564.00,-71.80,1284.40,5,63675
1771898967.320,6,10,-537.50,-104.50,1286.50,5,63675
1771898967.320,6,11,-528.30,-159.40,1278.60,5,63675
1771898967.320,6,12,-556.30,-25.80,1248.40,5,63675
1771898967.320,6,13,-532.80,-58.10,1255.80,5,63675
1771898967.320,6,14,-533.90,-103.00,1240.80,5,63675
1771898967.320,6,15,-523.30,-159.00,1222.70,5,63675
1771898967.320,7,0,-624.30,171.50,1178.10,5,63695
1771898967.320,7,1,-533.50,170.70,1216.10,5,63695
1771898967.320,7,15,-443.60,185.10,1371.50,5,63695
1771898967.424,6,14,-532.50,-102.00,1241.90,5,63742
1771898967.424,6,15,-522.80,-158.30,1223.20,5,63742
1771898967.531,7,0,-620.80,169.10,1180.70,5,63762
1771898967.531,7,1,-533.50,170.70,1216.10,5,63762
1771898967.531,7,2,-481.50,181.40,1226.90,5,63762
1771898967.531,7,3,-435.00,191.50,1230.60,5,63762
1771898967.531,7,4,-635.80,186.70,1252.40,5,63762
1771898967.531,7,5,-545.40,188.30,1268.90,5,63762
1771898967.531,7,6,-489.40,197.70,1275.10,5,63762
1771898967.531,7,7,-440.40,208.00,1278.30,5,63762
1771898967.531,7,8,-626.30,185.50,1325.50,5,63762
1771898967.531,7,9,-550.90,197.50,1324.40,5,63762
1771898967.531,7,10,-490.40,197.00,1325.70,5,63762
1771898967.531,7,11,-442.00,194.80,1328.30,5,63762
1771898967.531,7,12,-613.60,181.20,1392.00,5,63762
1771898967.531,7,13,-548.60,196.70,1381.40,5,63762
1771898967.531,7,14,-484.80,180.90,1371.20,5,63762
1771898967.531,7,15,-443.00,181.30,1370.50,5,63762
1771898967.531,8,5,-471.40,1001.70,1036.40,5,63777
1771898967.531,8,6,-211.70,1021.60,1030.10,5,63777
1771898967.531,8,7,59.30,995.20,1028.60,5,63777
1771898967.531,8,8,-712.80,964.60,1303.70,5,63777
1771898967.531,8,0,-720.80,890.50,772.20,5,63777
1771898967.531,8,1,-469.60,941.20,770.20,5,63777
1771898967.531,8,2,-212.90,963.80,755.80,5,63777
1771898967.531,8,3,-235.80,297.60,1174.40,5,63777
1771898967.531,8,4,-725.30,949.40,1043.60,5,63777
1771898967.531,8,5,-470.50,995.10,1038.50,5,63777
1771898967.531,8,6,-211.50,1022.50,1029.80,5,63777
1771898967.531,8,7,56.60,989.00,1030.70,5,63777
1771898967.531,8,8,-712.10,962.80,1303.80,5,63777
1771898967.531,8,9,-467.70,1018.00,1292.90,5,63777
1771898967.531,8,10,-215.40,1038.80,1292.00,5,63777
1771898967.531,8,11,45.20,1009.00,1302.30,5,63777
1771898967.531,8,12,-683.00,935.60,1553.50,5,63777
1771898967.531,8,13,-458.70,992.80,1542.60,5,63777
1771898967.531,8,14,-223.80,1019.90,1548.70,5,63777
1771898967.531,8,15,13.10,976.40,1563.80,5,63777
1771898967.531,1,0,703.40,377.70,1000.70,5,183547
1771898967.531,1,1,716.20,553.00,1024.80,5,183547
1771898967.531,1,2,699.00,756.80,1061.20,5,183547
1771898967.531,1,3,652.20,1016.00,1123.90,9,183547
1771898967.531,1,4,740.50,382.60,834.10,5,183547
1771898967.531,1,5,754.70,569.00,842.40,5,183547
1771898967.531,1,6,723.00,775.30,852.40,5,183547
1771898967.531,1,7,666.50,1034.70,871.50,9,183547
1771898967.531,1,15,683.70,1057.10,353.20,5,183547
1771898967.629,1,11,689.50,1064.60,622.20,9,183615
1771898967.629,1,12,708.90,378.40,495.60,5,183615
1771898967.629,1,13,725.50,556.90,469.60,5,183615
1771898967.629,1,14,715.80,769.80,428.60,5,183615
1771898967.629,1,15,671.90,1041.70,361.30,9,183615
1771898967.932,1,11,682.20,1055.10,623.70,5,183883
1771898967.932,1,12,714.40,379.10,493.30,5,183883
1771898967.932,1,13,723.00,555.80,470.70,5,183883
1771898967.932,1,14,701.20,758.50,436.30,5,183883
1771898967.932,1,11,672.00,1041.80,626.00,9,183949
1771898967.932,1,12,710.70,378.60,494.80,5,183949
1771898967.932,1,13,722.10,555.50,471.10,5,183949
1771898967.932,1,14,701.90,759.10,435.90,5,183949
1771898967.932,1,15,644.90,1006.50,379.60,9,183949
1771898967.932,3,6,780.70,-172.60,837.80,255,187361
1771898967.932,3,7,2386.80,681.00,1073.10,10,187361
1771898967.932,3,8,1473.60,-823.40,555.60,5,187361
1771898967.932,3,9,2349.60,-554.60,452.50,255,187361
1771898968.034,3,6,780.70,-172.60,837.80,255,187427
1771898968.034,3,7,2326.40,655.90,1064.50,255,187427
1771898968.034,3,8,1539.60,-850.70,546.20,5,187427
1771898968.034,3,9,2349.60,-554.60,452.50,255,187427
1771898968.034,3,10,2417.40,42.90,443.50,255,187427
1771898968.034,3,11,2370.30,674.10,427.80,5,187427
1771898968.034,3,12,1395.50,-791.00,174.90,5,187427
1771898968.034,3,13,1186.00,-401.40,301.60,255,187427
1771898968.034,3,14,3950.40,244.70,-853.40,255,187427
1771898968.034,3,15,2150.00,582.90,-163.40,10,187427
1771898968.034,5,7,347.20,-1745.60,1278.00,5,64260
1771898968.034,5,14,-97.40,-1764.80,242.40,5,64260
1771898968.034,5,15,406.30,-1703.90,220.80,5,64260
1771898968.034,3,12,1373.30,-781.80,184.80,5,187493
1771898968.034,3,13,1186.00,-401.40,301.60,255,187493
1771898968.034,3,14,3950.40,244.70,-853.40,255,187493
1771898968.034,3,15,2150.00,582.90,-163.40,255,187493
1771898968.153,4,5,1123.90,-786.60,557.50,5,187524
1771898968.153,4,6,839.00,-908.50,674.00,5,187524
1771898968.153,4,7,751.20,-1181.20,757.10,9,187524
1771898968.153,4,8,1637.10,-469.30,738.30,5,187524
1771898968.153,4,9,1184.60,-701.20,840.20,5,187524
1771898968.153,4,2,780.80,-976.00,427.10,5,187524
1771898968.153,4,3,685.90,-1251.30,474.60,5,187524
1771898968.153,4,4,1598.50,-594.70,351.20,5,187524
1771898968.153,4,5,1134.60,-791.70,555.50,5,187524
1771898968.153,4,6,845.20,-913.60,673.40,5,187524
1771898968.153,4,7,745.20,-1173.10,757.00,5,187524
1771898968.153,4,8,1644.00,-470.00,738.30,5,187524
1771898968.153,4,9,1204.20,-708.50,841.80,9,187524
1771898968.153,4,10,862.40,-820.90,905.50,5,187524
1771898968.153,4,11,812.80,-1111.00,1031.00,5,187524
1771898968.153,4,0,1438.70,-700.30,-15.70,5,187524
1771898968.153,4,1,1163.00,-938.70,207.00,5,187524
1771898968.153,4,2,811.70,-1006.80,412.50,5,187524
1771898968.153,4,3,682.30,-1245.50,476.20,5,187524
1771898968.153,4,4,1612.70,-597.60,347.40,5,187524
1771898968.153,4,5,1285.00,-863.50,527.30,9,187524
1771898968.153,4,0,1415.20,-693.20,-2.20,5,187524
1771898968.153,4,1,1151.20,-931.60,213.00,5,187524
1771898968.153,4,2,825.80,-1020.80,405.80,5,187524
1771898968.153,4,3,679.30,-1240.50,477.70,5,187524
1771898968.153,4,4,1600.40,-595.10,350.70,5,187524
1771898968.153,4,5,1310.80,-875.80,522.50,5,187524
1771898968.153,4,9,1336.90,-757.90,852.90,9,187524
1771898968.153,4,10,968.00,-893.40,927.20,5,187524
1771898968.153,4,11,825.00,-1124.80,1035.80,9,187524
1771898968.153,4,12,1622.80,-338.70,1123.30,5,187524
1771898968.153,4,13,1660.50,-718.20,1291.50,5,187524
1771898968.153,4,14,945.30,-764.20,1171.00,5,187524
1771898968.153,4,15,776.50,-933.90,1257.20,5,187524
1771898968.153,5,0,-1018.50,-1796.90,1770.50,5,64393
1771898968.153,5,1,-562.60,-1828.10,1730.40,5,64393
1771898968.153,5,2,-123.70,-1824.30,1729.50,5,64393
1771898968.153,5,3,312.20,-1744.20,1757.20,5,64393
1771898968.153,5,4,-1077.80,-1854.70,1274.40,5,64393
1771898968.153,5,5,-582.20,-1895.30,1255.60,5,64393
1771898968.153,5,6,-104.90,-1885.40,1256.00,5,64393
1771898968.153,5,7,358.20,-1772.40,1277.10,5,64393
1771898968.153,5,8,-1106.30,-1832.80,754.80,9,64393
1771898968.153,5,9,-588.90,-1860.60,764.70,5,64393
1771898968.153,5,10,-93.00,-1889.00,755.70,5,64393
1771898968.153,5,11,382.20,-1744.00,783.90,5,64393
1771898968.153,5,12,-1071.60,-1659.00,251.30,5,64393
1771898968.153,5,13,-588.30,-1764.00,242.90,5,64393
1771898968.153,5,14,-97.40,-1764.80,242.40,5,64393
1771898968.153,5,15,411.90,-1716.30,212.40,5,64393
1771898968.254,6,4,-2498.20,-293.50,1269.50,5,64409
1771898968.254,6,5,-611.00,-92.40,1324.70,255,64409
1771898968.254,6,6,-563.50,-123.30,1325.80,5,64409
1771898968.254,6,7,-530.30,-156.70,1327.90,5,64409
1771898968.254,6,8,-2511.00,-257.10,701.10,4,64409
1771898968.254,6,1,-632.20,-102.70,1385.10,255,64409
1771898968.254,6,2,-565.50,-123.40,1374.40,5,64409
1771898968.254,6,3,-522.00,-141.10,1372.10,5,64409
1771898968.254,6,4,-2546.80,-300.10,1268.00,5,64409
1771898968.254,6,5,-608.20,-91.30,1324.90,255,64409
1771898968.254,6,6,-565.90,-125.10,1325.70,5,64409
1771898968.254,6,7,-528.50,-154.30,1328.00,5,64409
1771898968.254,6,8,-634.10,-37.80,1268.50,255,64409
1771898968.254,6,9,-580.80,-78.70,1278.70,5,64409
1771898968.254,6,10,-561.60,-123.20,1276.90,5,64409
1771898968.254,6,11,-529.50,-161.00,1278.00,5,64409
1771898968.254,6,12,-563.10,-26.40,1244.20,5,64409
1771898968.254,6,13,-555.50,-67.20,240.20,5,64409
1771898968.254,6,14,-563.70,-126.50,1216.70,5,64409
1771898968.254,6,0,-651.00,-48.20,1388.60,5,64409
1771898968.254,6,1,-616.00,-95.90,1381.20,255,64409
1771898968.254,6,0,-2398.50,-315.80,1803.80,5,64409
1771898968.254,6,1,-617.80,-96.60,1381.60,5,64409
1771898968.254,6,2,-556.10,-116.30,1371.80,5,64409
1771898968.254,6,3,-504.90,-119.80,1365.70,5,64409
1771898968.254,6,4,-2440.80,-285.80,1271.20,13,64409
1771898968.254,6,5,-618.40,-95.50,1324.40,5,64409
1771898968.254,6,6,-575.40,-132.40,1325.20,5,64409
1771898968.254,6,7,-513.20,-134.50,1328.80,5,64409
1771898968.254,6,8,-632.20,-37.60,1269.10,5,64409
1771898968.254,6,9,-611.70,-91.30,1268.30,5,64409
1771898968.254,6,10,-579.70,-137.30,1269.80,5,64409
1771898968.254,6,11,-512.90,-138.70,1286.30,5,64409
1771898968.254,6,12,-588.50,-28.90,1228.50,5,64409
1771898968.254,6,13,-599.40,-84.80,1210.20,5,64409
1771898968.254,6,14,-562.40,-125.50,1217.70,5,64409
1771898968.254,6,15,-501.50,-128.50,1245.80,5,64409
1771898968.353,1,4,738.60,382.30,833.90,5,184268
1771898968.353,1,10,727.70,778.90,645.40,5,184268
1771898968.353,1,11,670.80,1040.20,626.20,5,184268
1771898968.353,1,12,717.10,379.50,492.10,5,184268
1771898968.353,1,13,737.50,561.80,464.20,5,184268
1771898968.353,1,14,721.70,774.30,425.50,5,184268
1771898968.353,1,15,678.60,1050.50,356.70,5,184268
1771898968.353,3,15,2273.80,634.10,-218.90,255,187689
1771898968.353,4,12,1621.80,-338.70,1123.10,5,187658
1771898968.353,4,13,1577.20,-695.80,1262.50,9,187658
1771898968.353,4,14,983.00,-785.10,1189.80,9,187658
1771898968.353,4,15,770.80,-928.50,1252.90,5,187658
1771898968.449,4,1,1370.90,-1064.10,100.70,4,187726
1771898968.449,4,2,864.70,-1059.60,387.30,5,187726
1771898968.449,4,3,662.00,-1212.40,485.80,5,187726
1771898968.449,4,4,1587.10,-592.50,354.30,5,187726
