time_ms,s1_c01,s1_c02,s1_c03,s1_c04,s1_c05,s1_c06,s1_c07,s1_c08,s1_c09,s1_c10,s1_c11,s1_c12,s1_c13,s1_c14,s1_c15,s1_c16,s2_c01,s2_c02,s2_c03,s2_c04,s2_c05,s2_c06,s2_c07,s2_c08,s2_c09,s2_c10,s2_c11,s2_c12,s2_c13,s2_c14,s2_c15,s2_c16,s3_c01,s3_c02,s3_c03,s3_c04,s3_c05,s3_c06,s3_c07,s3_c08,s3_c09,s3_c10,s3_c11,s3_c12,s3_c13,s3_c14,s3_c15,s3_c16,s4_c01,s4_c02,s4_c03,s4_c04,s4_c05,s4_c06,s4_c07,s4_c08,s4_c09,s4_c10,s4_c11,s4_c12,s4_c13,s4_c14,s4_c15,s4_c16,s5_c01,s5_c02,s5_c03,s5_c04,s5_c05,s5_c06,s5_c07,s5_c08,s5_c09,s5_c10,s5_c11,s5_c12,s5_c13,s5_c14,s5_c15,s5_c16,s6_c01,s6_c02,s6_c03,s6_c04,s6_c05,s6_c06,s6_c07,s6_c08,s6_c09,s6_c10,s6_c11,s6_c12,s6_c13,s6_c14,s6_c15,s6_c16,s7_c01,s7_c02,s7_c03,s7_c04,s7_c05,s7_c06,s7_c07,s7_c08,s7_c09,s7_c10,s7_c11,s7_c12,s7_c13,s7_c14,s7_c15,s7_c16,s8_c01,s8_c02,s8_c03,s8_c04,s8_c05,s8_c06,s8_c07,s8_c08,s8_c09,s8_c10,s8_c11,s8_c12,s8_c13,s8_c14,s8_c15,s8_c16
1057,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3000.0,1963.0,2089.0,2562.5,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,2253.4,1837.0,1726.2,3000.0,2562.5,2089.0,1963.0,1204.5,1171.0,1171.0,1204.5,1469.6,1570.6,1946.0,2350.3,1392.8,1483.2,1813.6,2321.6,1495.0,1586.3,1914.3,2539.0,1204.5,1171.0,1171.0,1204.5,2350.3,1946.0,1570.6,1469.6,2321.6,1813.6,1483.2,1392.8,2539.0,1914.3,1586.3,1495.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0
1161,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3000.0,1963.0,2089.0,2562.5,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,2253.4,1837.0,1726.2,3000.0,2562.5,2089.0,1963.0,1204.5,1171.0,1171.0,1204.5,1552.2,1658.9,2055.4,2350.3,1471.1,1566.6,1915.5,2321.6,1579.1,1675.5,2021.9,2539.0,1204.5,1171.0,1171.0,1204.5,2350.3,2055.4,1658.9,1552.2,2321.6,1915.5,1566.6,1471.1,2539.0,2021.9,1675.5,1579.1,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0
1267,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3000.0,1963.0,2089.0,2562.5,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,2253.4,1837.0,1726.2,3000.0,2562.5,2089.0,1963.0,1204.5,1171.0,1171.0,1204.5,1635.8,1748.3,2166.1,2350.3,1550.4,1651.0,2018.8,2321.6,1664.2,1765.8,2130.8,2539.0,1204.5,1171.0,1171.0,1204.5,2350.3,2166.1,1748.3,1635.8,2321.6,2018.8,1651.0,1550.4,2539.0,2130.8,1765.8,1664.2,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0
1373,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3000.0,1963.0,2089.0,2562.5,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,2253.4,1837.0,1726.2,3000.0,2562.5,2089.0,1963.0,1204.5,1171.0,1171.0,1204.5,1720.2,1838.5,2209.6,2350.3,1630.4,1736.2,2122.9,2321.6,1750.0,1856.8,2240.7,2539.0,1204.5,1171.0,1171.0,1204.5,2350.3,2209.6,1838.5,1720.2,2321.6,2122.9,1736.2,1630.4,2539.0,2240.7,1856.8,1750.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0
1476,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3000.0,1963.0,2089.0,2562.5,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,2253.4,1837.0,1726.2,3000.0,2562.5,2089.0,1963.0,1204.5,1171.0,1171.0,1204.5,1801.7,1925.5,2209.6,2350.3,1707.6,1818.4,2223.4,2321.6,1832.9,1944.8,2346.8,2539.0,1204.5,1171.0,1171.0,1204.5,2350.3,2209.6,1925.5,1801.7,2321.6,2223.4,1818.4,1707.6,2539.0,2346.8,1944.8,1832.9,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0
1580,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3000.0,1963.0,2089.0,2562.5,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,2253.4,1837.0,1726.2,3000.0,2562.5,2089.0,1963.0,1204.5,1171.0,1171.0,1204.5,1883.8,2013.2,2209.6,2350.3,1785.3,1901.2,2324.7,2321.6,1916.4,2033.3,2453.7,2539.0,1204.5,1171.0,1171.0,1204.5,2350.3,2209.6,2013.2,1883.8,2321.6,2324.7,1901.2,1785.3,2539.0,2453.7,2033.3,1916.4,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0
1682,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3000.0,1963.0,2089.0,2562.5,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,2253.4,1837.0,1726.2,3000.0,2562.5,2089.0,1963.0,1204.5,1171.0,1171.0,1204.5,1964.6,2099.6,2209.6,2350.3,1862.0,1982.8,2424.5,2321.6,1998.6,2120.6,2559.0,2539.0,1204.5,1171.0,1171.0,1204.5,2350.3,2209.6,2099.6,1964.6,2321.6,2424.5,1982.8,1862.0,2539.0,2559.0,2120.6,1998.6,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0
1783,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3000.0,1963.0,2089.0,2562.5,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,2253.4,1837.0,1726.2,3000.0,2562.5,2089.0,1963.0,1204.5,1171.0,1171.0,1204.5,2044.7,2185.2,2209.6,2350.3,1937.9,2063.6,2523.3,2321.6,2080.1,2207.0,2663.3,2539.0,1204.5,1171.0,1171.0,1204.5,2350.3,2209.6,2185.2,2044.7,2321.6,2523.3,2063.6,1937.9,2539.0,2663.3,2207.0,2080.1,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0
1887,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3000.0,1963.0,2089.0,2562.5,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,2253.4,1837.0,1726.2,3000.0,2562.5,2089.0,1963.0,1204.5,1171.0,1171.0,1204.5,2126.6,2209.6,2209.6,2350.3,2015.5,2146.3,2624.4,2321.6,2163.4,2295.5,2770.0,2539.0,1204.5,1171.0,1171.0,1204.5,2350.3,2209.6,2209.6,2126.6,2321.6,2624.4,2146.3,2015.5,2539.0,2770.0,2295.5,2163.4,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0
1991,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,1726.2,1837.0,2253.4,3000.0,1963.0,2089.0,2562.5,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,500.0,500.0,500.0,500.0,1439.7,1439.7,1439.7,1439.7,3000.0,2253.4,1837.0,1726.2,3000.0,2562.5,2089.0,1963.0,1204.5,1171.0,1171.0,1204.5,2209.1,2209.6,2209.6,2350.3,2093.7,2229.5,2726.1,2321.6,2247.3,2384.5,2877.5,2539.0,1204.5,1171.0,1171.0,1204.5,2350.3,2209.6,2209.6,2209.1,2321.6,2726.1,2229.5,2093.7,2539.0,2877.5,2384.5,2247.3,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0,1204.5,1171.0,1171.0,1204.5,2350.3,2162.3,2162.3,2350.3,2298.7,2029.9,2029.9,2298.7,2423.0,2158.1,2158.1,2423.0
